공구번호,보유,위치,공유
000 581 00 04,1,01월 03일, -
000 581 01 04 14,1,01월 03일, -
000 586 00 99 00,-,-,공유
000 588 00 99 00,1,01월 03일,
000 588 01 19 00,-,-,공유
000 589 00 21 00,1,01월 03일, -
000 589 00 32 00,1,벽, -
000 589 00 63 00,1,01월 04일, -
000 589 94 63 00,1,02월 15일,-
000 589 01 10 00,3,01월 04일, -
000 589 01 21 00,1,01월 08일, -
000 589 01 22 00,1,01월 05일,-
000 589 01 68 00,1,01월 04일,-
000 589 01 68 01,1,01월 04일,-
000 589 02 21 00,-,-,공유
000 589 02 22 00,1,01월 04일,-
000 589 02 98 00,1,01월 04일, -
000 589 03 10 00 ,2,01월 04일,공유
000 589 03 22 00,1,01월 04일, -
000 589 04 10 00 ,2,01월 04일,공유
000 589 04 14 00 ,1,01월 04일,공유
000 589 04 22 00,1,01월 04일, -
000 589 04 37 00,2,01월 04일, -
000 589 05 91 00,1,01월 05일,-
000 589 08 63 00,1,01월 05일, -
000 589 10 63 00 ,-,-,공유
000 589 10 99 01 ,1,01월 05일, -
000 589 10 99 32,1,01월 05일,-
000 589 13 99 00,1,01월 06일, -
000 589 18 31 00 ,1,1층, -
000 589 20 99 00,-,-,공유
000 589 21 99 00,1,01월 06일,-
000 589 24 07 00,1,01월 06일,
000 589 26 68 00,2,01월 06일, -
000 589 28 33 00,1,01월 07일, -
000 589 29 33 00,-,-,공유
000 589 30 37 00,1,01월 07일, -
000 589 31 33 00,-,-,공유
000 589 33 33 00,1,01월 07일, -
000 589 34 33 00,-,-,공유
000 589 35 33 00,-,-,공유
000 589 40 37 00 ,3,01월 07일, -
000 589 51 37 00 ,-,-,공유
000 589 52 37 00,1,01월 07일, -
000 589 52 43 00 ,3,01월 07일, -
000 589 52 98 00 ,1,01월 08일, -
000 589 54 37 00 ,4,01월 07일, -
000 589 55 37 00,1,01월 07일, -
000 589 61 34 00,-,-,공유
000 589 65 33 00,1,01월 07일,
000 589 68 03 00,1,02월 02일,
000 589 68 33 00,-,-,공유
000 589 69 03 00 ,1,02월 02일, -
000 589 70 03 00 ,1,02월 02일, -
000 589 71 03 00 ,1,02월 02일, -
000 589 72 03 00,1,02월 02일, -
000 589 75 03 00,1,02월 02일,
000 589 76 03 00 ,1,02월 02일, -
000 589 77 03 00,1,02월 02일,
000 589 77 63 00,1,02월 02일,
000 589 78 03 00,1,02월 02일, -
000 589 80 03 00,1,02월 02일, -
000 589 86 63 00,1,02월 02일,-
000 589 88 33 00,1,02월 02일, -
000 589 88 63 00      ,3,02월 02일, -
000 589 90 63 00,1,02월 02일, -
000 589 91 63 00,-,-,공유
000 589 92 63 00,-,-,공유
000 589 93 63 00,2,02월 03일,-
000 589 95 63 00,1,02월 03일,-
001 589 00 03 00,1,02월 03일,
001 589 00 07 00,1,02월 03일, -
001 589 00 31 00,1,02월 03일, -
001 589 00 40 00,-,-,공유
001 589 00 91 00,2,02월 03일, -
001 589 01 07 00,1,02월 03일,-
001 589 01 16 10,1,02월 03일,-
001 589 01 91 00,2,02월 03일, -
001 589 02 16 00,2,02월 03일, -
001 589 02 91 00,2,02월 04일, -
001 589 03 91 00,2,02월 04일,-
001 589 05 91 00,-,-,공유
001 589 19 33 00,-,-,공유
001 589 38 33 00,1,02월 04일, -
001 589 50 33 00,1,02월 04일,공유
001 589 51 33 00,1,02월 04일, -
001 589 53 21 00 ,1,02월 04일,
001 589 65 09 00,1,02월 04일, -
001 589 66 21 00,1,02월 04일, -
001 589 67 21 00,1,02월 04일, -
001 589 72 21 00,1,02월 04일, -
001 589 73 21 00,1,02월 05일, -
001 589 76 09 00 ,1,02월 05일, -
001 589 76 21 00,1,02월 05일, -
001 589 80 09 00,1,02월 05일, -
001 589 87 21 00,1,02월 05일,
003 589 03 37 00,1,02월 06일, -
102 589 00 34 00,2,02월 06일, -
103 589 00 21 00,1,02월 06일, -
103 589 00 21 04,1,02월 06일, -
103 589 00 37 00,1,02월 06일,
103 589 00 40 00,1,02월 06일,
103 589 00 91 00,-,-,공유
103 589 01 39 00,-,-,공유
103 589 01 63 00,-,-,공유
103 589 02 09 00,3,02월 06일, -
103 589 02 63 00,1,02월 06일,
103 589 03 09 00,1,02월 06일,-
104 589 01 01 00,1,02월 07일, -
110 589 01 01 00,1,02월 07일,
110 589 02 63 00,1,02월 07일, -
111 589 00 91 00,1,02월 07일, -
111 589 03 09 00,1,02월 07일, -
111 589 03 15 00,1,02월 07일,공유
111 589 08 43 00,-,-,공유
111 589 25 61 00,-,-,공유
112 589 00 10 00,1,02월 07일,공유
112 589 00 25 00,2,02월 07일, -
112 589 00 40 00,1,02월 07일,공유
112 589 01 03 00,1,03월 02일,
112 589 01 09 00 ,3,03월 02일, -
112 589 02 09 00,1,03월 02일,공유
112 589 03 40 00,1,03월 02일,공유
112 589 07 40 00,1,03월 02일,공유
112 589 09 61 00,1,03월 02일, -
112 589 09 63 00,-,-,공유
113 589 00 01 00,1,03월 02일,-
113 589 00 40 00,1,03월 02일,
116 589 01 34 00,1,03월 02일, -
116 589 01 62 00,2,03월 02일, -
116 589 02 07 00,1,03월 03일, -
116 589 03 07 00,1,03월 03일, -
116 589 06 59 00,1,"3-3
엔진실","일부
공유"
116 589 06 63 00,-,-,공유
116 589 09 43 00,-,-,공유
116 589 11 61 00,-,-,공유
116 589 20 33 00,1,03월 03일, -
116 589 22 33 00,1,03월 03일, -
119 589 01 14 00,-,-,공유
119 589 02 09 00,1,03월 03일,
119 589 04 63 00,1,벽, -
120 589 02 01 00,1,03월 03일,
120 589 02 09 00,1,03월 03일,
120 589 07 21 00,1,벽, -
120 589 14 07 00,1,03월 04일,-
123 589 00 34 00,1,03월 04일,공유
123 589 02 09 00,1,03월 04일,
123 589 02 10 00,1,03월 04일, -
123 589 03 09 00,1,03월 04일, -
123 589 08 33 00,-,-,공유
124 589 00 37 00,-,-,공유
124 589 00 91 00,1,03월 04일, -
124 589 01 31 00,4,1층, -
124 589 02 33 00,1,03월 04일,
124 589 02 34 00,-,-,공유
124 589 04 33 00,-,-,공유
124 589 03 33 00,1,03월 04일,
124 589 04 33 00,,,
124 589 05 43 00,1,03월 04일,공유
124 589 06 21 00,1,03월 05일,공유
124 589 07 21 00,1,03월 05일,공유
124 589 09 63 00,1,03월 05일, -
124 589 17 21 00,-,-,공유
124 589 17 63 00,1,03월 05일, -
124 589 18 21 00,-,-,공유
124 589 24 21 00,1,03월 05일, -
126 589 00 01 00,1,03월 06일,
126 589 00 10 00,2,03월 06일, -
126 589 02 09 00,1,03월 06일, -
126 589 04 09 00,5,"3-6
현장", -
126 589 04 31 00,2,03월 06일, -
126 589 12 63 00,1,03월 06일, -
126 589 13 63 00,1,03월 06일,
129 589 00 21 00,1,03월 06일,
129 589 00 91 00,1,03월 07일, -
129 589 01 03 00,1,03월 07일,공유
129 589 03 21 00,1,03월 07일,
129 589 01 07 00,-,-,공유
129 589 01 21 00,1,03월 01일, -
129 589 03 43 00,1,03월 01일,공유
129 589 10 63 00,1,03월 07일, -
133 589 00 63 00,-,-,공유
137 589 00 33 00,1,03월 07일, -
137 589 00 63 00,1,03월 08일,공유
137 589 01 33 00,1,03월 07일, -
137 589 01 40 00,-,-,공유
139 589 00 62 00,,,공유
139 589 01 40 00 ,1,03월 07일,-
